Город,Номера,Оператор,Телефонный код,Код страны
Москва,495301xxxx,ПАО МГТС,495,+7
Москва,499301xxxx,ПАО МГТС,499,+7
Москва,495302xxxx,ПАО МГТС,495,+7
Москва,499302xxxx,ПАО МГТС,499,+7
Москва,495303xxxx,ПАО МГТС,495,+7
Москва,499303xxxx,ПАО МГТС,499,+7
Москва,495304xxxx,ПАО МГТС,495,+7
Москва,499304xxxx,ПАО МГТС,499,+7
Москва,495305xxxx,ПАО МГТС,495,+7
Москва,499305xxxx,ПАО МГТС,499,+7
Москва,4953060xxx,ПАО МГТС,495,+7
Москва,4993060xxx,ПАО МГТС,499,+7
Москва,4953061xxx,ПАО МГТС,495,+7
Москва,4993061xxx,ПАО МГТС,499,+7
Москва,4953062xxx,ПАО МГТС,495,+7
Москва,4993062xxx,ПАО МГТС,499,+7
Москва,4953063xxx,ПАО МГТС,495,+7
Москва,4993063xxx,ПАО МГТС,499,+7
Москва,4953064xxx,ПАО МГТС,495,+7
Москва,4993064xxx,ПАО МГТС,499,+7
Москва,49545188xx,ПАО МГТС,495,+7
Москва,49945188xx,ПАО МГТС,499,+7
Москва,49545189xx,ПАО МГТС,495,+7
Москва,49945189xx,ПАО МГТС,499,+7
Москва,4954519xxx,ПАО МГТС,495,+7
Москва,4994519xxx,ПАО МГТС,499,+7
Москва,495452xxxx,ПАО МГТС,495,+7
Москва,499452xxxx,ПАО МГТС,499,+7
Москва,495453xxxx,ПАО МГТС,495,+7
Москва,499453xxxx,ПАО МГТС,499,+7
Москва,495454xxxx,ПАО МГТС,495,+7
Москва,499454xxxx,ПАО МГТС,499,+7
Москва,495455xxxx,ПАО МГТС,495,+7
Москва,499455xxxx,ПАО МГТС,499,+7
Москва,495456xxxx,ПАО МГТС,495,+7
Москва,499456xxxx,ПАО МГТС,499,+7
Москва,495457xxxx,ПАО МГТС,495,+7
Москва,499457xxxx,ПАО МГТС,499,+7
Москва,495458xxxx,ПАО МГТС,495,+7
Москва,499458xxxx,ПАО МГТС,499,+7
Москва,49545900xx,ПАО МГТС,495,+7
Москва,49945900xx,ПАО МГТС,499,+7
Москва,49545901xx,ПАО МГТС,495,+7
Москва,49945901xx,ПАО МГТС,499,+7
Москва,49545902xx,ПАО МГТС,495,+7
Москва,49945902xx,ПАО МГТС,499,+7
Москва,49545903xx,ПАО МГТС,495,+7
Москва,49945903xx,ПАО МГТС,499,+7
Москва,49545904xx,ПАО МГТС,495,+7
Москва,49945904xx,ПАО МГТС,499,+7
Москва,49545905xx,ПАО МГТС,495,+7
Москва,49945905xx,ПАО МГТС,499,+7
Москва,495520xxxx,Ростелеком,495,+7
Москва,499520xxxx,Ростелеком,499,+7
Москва,495521xxxx,Ростелеком,495,+7
Москва,499521xxxx,Ростелеком,499,+7
Москва,495522xxxx,Ростелеком,495,+7
Москва,499522xxxx,Ростелеком,499,+7
Москва,495523xxxx,Ростелеком,495,+7
Москва,499523xxxx,Ростелеком,499,+7
Москва,495524xxxx,Ростелеком,495,+7
Москва,499524xxxx,Ростелеком,499,+7
Москва,495525xxxx,Ростелеком,495,+7
Москва,499525xxxx,Ростелеком,499,+7
Москва,4955260xxx,Ростелеком,495,+7
Москва,4995260xxx,Ростелеком,499,+7
Москва,4955261xxx,Ростелеком,495,+7
Москва,4995261xxx,Ростелеком,499,+7
Москва,495565537x,Ростелеком,495,+7
Москва,499565537x,Ростелеком,499,+7
Москва,495565538x,Ростелеком,495,+7
Москва,499565538x,Ростелеком,499,+7
Москва,495565539x,Ростелеком,495,+7
Москва,499565539x,Ростелеком,499,+7
Москва,49556554xx,Ростелеком,495,+7
Москва,49956554xx,Ростелеком,499,+7
Москва,49556555xx,Ростелеком,495,+7
Москва,49956555xx,Ростелеком,499,+7
Москва,49556556xx,Ростелеком,495,+7
Москва,49956556xx,Ростелеком,499,+7
Москва,49556557xx,Ростелеком,495,+7
Москва,49956557xx,Ростелеком,499,+7
Москва,49556558xx,Ростелеком,495,+7
Москва,49956558xx,Ростелеком,499,+7
Москва,49556559xx,Ростелеком,495,+7
Москва,49956559xx,Ростелеком,499,+7
Москва,4955656xxx,Ростелеком,495,+7
Москва,4995656xxx,Ростелеком,499,+7
Москва,4955657xxx,Ростелеком,495,+7
Москва,4995657xxx,Ростелеком,499,+7
Москва,4955658xxx,Ростелеком,495,+7
Москва,4995658xxx,Ростелеком,499,+7
Москва,4955659xxx,Ростелеком,495,+7
Москва,4995659xxx,Ростелеком,499,+7
Москва,495566xxxx,Ростелеком,495,+7
Москва,499566xxxx,Ростелеком,499,+7
Москва,495567xxxx,Ростелеком,495,+7
Москва,499567xxxx,Ростелеком,499,+7
Москва,495568xxxx,Ростелеком,495,+7
Москва,499568xxxx,Ростелеком,499,+7
Москва,495569xxxx,Ростелеком,495,+7
Москва,499569xxxx,Ростелеком,499,+7
Москва,495570xxxx,Ростелеком,495,+7
Москва,499570xxxx,Ростелеком,499,+7
Москва,495571xxxx,Ростелеком,495,+7
Москва,499571xxxx,Ростелеком,499,+7
Москва,495572xxxx,Ростелеком,495,+7
Москва,499572xxxx,Ростелеком,499,+7
Москва,495573xxxx,Ростелеком,495,+7
Москва,499573xxxx,Ростелеком,499,+7
Москва,4955740xxx,Ростелеком,495,+7
Москва,4995740xxx,Ростелеком,499,+7
Москва,4955741xxx,Ростелеком,495,+7
Москва,4995741xxx,Ростелеком,499,+7
Москва,4955742xxx,Ростелеком,495,+7
Москва,4995742xxx,Ростелеком,499,+7
Москва,49557430xx,Ростелеком,495,+7
Москва,49957430xx,Ростелеком,499,+7
Москва,49557431xx,Ростелеком,495,+7
Москва,49957431xx,Ростелеком,499,+7
Москва,49557432xx,Ростелеком,495,+7
Москва,49957432xx,Ростелеком,499,+7
Москва,49557433xx,Ростелеком,495,+7
Москва,49957433xx,Ростелеком,499,+7
Москва,49557434xx,Ростелеком,495,+7
Москва,49957434xx,Ростелеком,499,+7
Москва,49557435xx,Ростелеком,495,+7
Москва,49957435xx,Ростелеком,499,+7
Москва,49557436xx,Ростелеком,495,+7
Москва,49957436xx,Ростелеком,499,+7
Москва,4955384xxx,КОМКОР,495,+7
Москва,4995384xxx,КОМКОР,499,+7
Москва,4955385xxx,КОМКОР,495,+7
Москва,4995385xxx,КОМКОР,499,+7
Москва,4955386xxx,КОМКОР,495,+7
Москва,4995386xxx,КОМКОР,499,+7
Москва,4955387xxx,КОМКОР,495,+7
Москва,4995387xxx,КОМКОР,499,+7
Москва,4955388xxx,КОМКОР,495,+7
Москва,4995388xxx,КОМКОР,499,+7
Москва,4955389xxx,КОМКОР,495,+7
Москва,4995389xxx,КОМКОР,499,+7
Москва,495539xxxx,КОМКОР,495,+7
Москва,499539xxxx,КОМКОР,499,+7
Москва,495626xxxx,Билайн,495,+7
Москва,499626xxxx,Билайн,499,+7
Москва,495627xxxx,Билайн,495,+7
Москва,499627xxxx,Билайн,499,+7
Москва,495628xxxx,Билайн,495,+7
Москва,499628xxxx,Билайн,499,+7
Москва,495629xxxx,Билайн,495,+7
Москва,499629xxxx,Билайн,499,+7
Москва,495630xxxx,Билайн,495,+7
Москва,499630xxxx,Билайн,499,+7
Москва,495631xxxx,Билайн,495,+7
Москва,499631xxxx,Билайн,499,+7
Москва,495632xxxx,Билайн,495,+7
Москва,499632xxxx,Билайн,499,+7
Москва,495633xxxx,Билайн,495,+7
Москва,499633xxxx,Билайн,499,+7
Москва,495634xxxx,Билайн,495,+7
Москва,499634xxxx,Билайн,499,+7
Москва,495635xxxx,Билайн,495,+7
Москва,499635xxxx,Билайн,499,+7
Санкт-Петербург,8123651448,Ростелеком,812,+7
Санкт-Петербург,8123651449,Ростелеком,812,+7
Санкт-Петербург,812365145x,Ростелеком,812,+7
Санкт-Петербург,812365146x,Ростелеком,812,+7
Санкт-Петербург,812365147x,Ростелеком,812,+7
Санкт-Петербург,812365148x,Ростелеком,812,+7
Санкт-Петербург,812365149x,Ростелеком,812,+7
Санкт-Петербург,81236515xx,Ростелеком,812,+7
Санкт-Петербург,81236516xx,Ростелеком,812,+7
Санкт-Петербург,81236517xx,Ростелеком,812,+7
Санкт-Петербург,81236518xx,Ростелеком,812,+7
Санкт-Петербург,81236519xx,Ростелеком,812,+7
Санкт-Петербург,8123652xxx,Ростелеком,812,+7
Санкт-Петербург,8123653xxx,Ростелеком,812,+7
Санкт-Петербург,8123654xxx,Ростелеком,812,+7
Санкт-Петербург,8123655xxx,Ростелеком,812,+7
Санкт-Петербург,8123656xxx,Ростелеком,812,+7
Санкт-Петербург,8123657xxx,Ростелеком,812,+7
Санкт-Петербург,8123658xxx,Ростелеком,812,+7
Санкт-Петербург,8123659xxx,Ростелеком,812,+7
Санкт-Петербург,812366xxxx,Ростелеком,812,+7
Санкт-Петербург,812367xxxx,Ростелеком,812,+7
Санкт-Петербург,812368xxxx,Ростелеком,812,+7
Санкт-Петербург,812369xxxx,Ростелеком,812,+7
Санкт-Петербург,812370xxxx,Ростелеком,812,+7
Санкт-Петербург,812371xxxx,Ростелеком,812,+7
Санкт-Петербург,8123720xxx,Ростелеком,812,+7
Санкт-Петербург,8123721xxx,Ростелеком,812,+7
Санкт-Петербург,8123722xxx,Ростелеком,812,+7
Санкт-Петербург,8123723xxx,Ростелеком,812,+7
Санкт-Петербург,81237240xx,Ростелеком,812,+7
Санкт-Петербург,81237241xx,Ростелеком,812,+7
Санкт-Петербург,81237242xx,Ростелеком,812,+7
Санкт-Петербург,81237243xx,Ростелеком,812,+7
Санкт-Петербург,81237244xx,Ростелеком,812,+7
Санкт-Петербург,81237245xx,Ростелеком,812,+7
Санкт-Петербург,81237246xx,Ростелеком,812,+7
Санкт-Петербург,81237247xx,Ростелеком,812,+7
Санкт-Петербург,81237248xx,Ростелеком,812,+7
Санкт-Петербург,812372490x,Ростелеком,812,+7
Санкт-Петербург,812372491x,Ростелеком,812,+7
Санкт-Петербург,812372492x,Ростелеком,812,+7
Санкт-Петербург,812372493x,Ростелеком,812,+7
Санкт-Петербург,812372494x,Ростелеком,812,+7
Санкт-Петербург,812372495x,Ростелеком,812,+7
Санкт-Петербург,812372496x,Ростелеком,812,+7
Санкт-Петербург,812372497x,Ростелеком,812,+7
Санкт-Петербург,812372498x,Ростелеком,812,+7
Санкт-Петербург,8123724990,Ростелеком,812,+7
Санкт-Петербург,8123724991,Ростелеком,812,+7
Санкт-Петербург,8123724992,Ростелеком,812,+7
Санкт-Петербург,8123724993,Ростелеком,812,+7
Санкт-Петербург,8123724994,Ростелеком,812,+7
Санкт-Петербург,8123724995,Ростелеком,812,+7
Санкт-Петербург,8123724996,Ростелеком,812,+7
Санкт-Петербург,8123724997,Ростелеком,812,+7
Санкт-Петербург,8123724998,Ростелеком,812,+7
Санкт-Петербург,8123724999,Ростелеком,812,+7
Санкт-Петербург,812524xxxx,Ростелеком,812,+7
Санкт-Петербург,812525xxxx,Ростелеком,812,+7
Санкт-Петербург,812526xxxx,Ростелеком,812,+7
Санкт-Петербург,812527xxxx,Ростелеком,812,+7
Санкт-Петербург,812528xxxx,Ростелеком,812,+7
Санкт-Петербург,812529xxxx,Ростелеком,812,+7
Санкт-Петербург,812530xxxx,Ростелеком,812,+7
Санкт-Петербург,812531xxxx,Ростелеком,812,+7
Санкт-Петербург,812532xxxx,Ростелеком,812,+7
Санкт-Петербург,812533xxxx,Ростелеком,812,+7
Санкт-Петербург,812534xxxx,Ростелеком,812,+7
Санкт-Петербург,812535xxxx,Ростелеком,812,+7
Санкт-Петербург,812583xxxx,Ростелеком,812,+7
Санкт-Петербург,812584xxxx,Ростелеком,812,+7
Санкт-Петербург,812585xxxx,Ростелеком,812,+7
Санкт-Петербург,812586xxxx,Ростелеком,812,+7
Санкт-Петербург,812587xxxx,Ростелеком,812,+7
Санкт-Петербург,812588xxxx,Ростелеком,812,+7
Санкт-Петербург,812589xxxx,Ростелеком,812,+7
Санкт-Петербург,812590xxxx,Ростелеком,812,+7
Санкт-Петербург,8125910xxx,Ростелеком,812,+7
Санкт-Петербург,8125911xxx,Ростелеком,812,+7
Санкт-Петербург,8125912xxx,Ростелеком,812,+7
Санкт-Петербург,8125913xxx,Ростелеком,812,+7
Санкт-Петербург,8125914xxx,Ростелеком,812,+7
Санкт-Петербург,8125915xxx,Ростелеком,812,+7
Санкт-Петербург,8125916xxx,Ростелеком,812,+7
Санкт-Петербург,81259170xx,Ростелеком,812,+7
Санкт-Петербург,812591710x,Ростелеком,812,+7
Санкт-Петербург,812591711x,Ростелеком,812,+7
Санкт-Петербург,812591712x,Ростелеком,812,+7
Санкт-Петербург,812591713x,Ростелеком,812,+7
Санкт-Петербург,8126805xxx,Ростелеком,812,+7
Санкт-Петербург,8126806xxx,Ростелеком,812,+7
Санкт-Петербург,8126807xxx,Ростелеком,812,+7
Санкт-Петербург,8126808xxx,Ростелеком,812,+7
Санкт-Петербург,8126809xxx,Ростелеком,812,+7
Санкт-Петербург,812681xxxx,Ростелеком,812,+7
Санкт-Петербург,812682xxxx,Ростелеком,812,+7
Санкт-Петербург,812683xxxx,Ростелеком,812,+7
Санкт-Петербург,812684xxxx,Ростелеком,812,+7
Санкт-Петербург,812685xxxx,Ростелеком,812,+7
Санкт-Петербург,812686xxxx,Ростелеком,812,+7
Санкт-Петербург,812687xxxx,Ростелеком,812,+7
Санкт-Петербург,8126880xxx,Ростелеком,812,+7
Санкт-Петербург,8126881xxx,Ростелеком,812,+7
Санкт-Петербург,8126882xxx,Ростелеком,812,+7
Санкт-Петербург,812689xxxx,Ростелеком,812,+7
Санкт-Петербург,81269xxxxx,Ростелеком,812,+7
Санкт-Петербург,812700xxxx,Ростелеком,812,+7
Санкт-Петербург,81290184xx,МегаФон,812,+7
Санкт-Петербург,81290185xx,МегаФон,812,+7
Санкт-Петербург,81290186xx,МегаФон,812,+7
Санкт-Петербург,81290187xx,МегаФон,812,+7
Санкт-Петербург,81290188xx,МегаФон,812,+7
Санкт-Петербург,81290189xx,МегаФон,812,+7
Санкт-Петербург,8129019xxx,МегаФон,812,+7
Санкт-Петербург,812902xxxx,МегаФон,812,+7
Санкт-Петербург,812903xxxx,МегаФон,812,+7
Санкт-Петербург,812904xxxx,МегаФон,812,+7
Санкт-Петербург,812905xxxx,МегаФон,812,+7
Санкт-Петербург,812906xxxx,МегаФон,812,+7
Санкт-Петербург,812907xxxx,МегаФон,812,+7
Санкт-Петербург,812908xxxx,МегаФон,812,+7
Санкт-Петербург,812909xxxx,МегаФон,812,+7
Санкт-Петербург,81291xxxxx,МегаФон,812,+7
Санкт-Петербург,81292xxxxx,МТС,812,+7
Санкт-Петербург,81293xxxxx,МегаФон,812,+7
Санкт-Петербург,81294xxxxx,МегаФон,812,+7
Санкт-Петербург,81295xxxxx,МегаФон,812,+7
Санкт-Петербург,81296xxxxx,МегаФон,812,+7
Санкт-Петербург,81297xxxxx,Tele2,812,+7
Санкт-Петербург,812980xxxx,Tele2,812,+7
Санкт-Петербург,812981xxxx,Tele2,812,+7
Санкт-Петербург,81299xxxxx,МегаФон,812,+7
Новосибирск,3832175xxx,Ростелеком,383,+7
Новосибирск,3832176xxx,Ростелеком,383,+7
Новосибирск,3832177xxx,Ростелеком,383,+7
Новосибирск,3832178xxx,Ростелеком,383,+7
Новосибирск,3832179xxx,Ростелеком,383,+7
Новосибирск,383218xxxx,Ростелеком,383,+7
Новосибирск,383219xxxx,Ростелеком,383,+7
Новосибирск,3832200xxx,Ростелеком,383,+7
Новосибирск,3832201xxx,Ростелеком,383,+7
Новосибирск,3832202xxx,Ростелеком,383,+7
Новосибирск,3832203xxx,Ростелеком,383,+7
Новосибирск,3832204xxx,Ростелеком,383,+7
Новосибирск,38322052xx,Ростелеком,383,+7
Новосибирск,38322053xx,Ростелеком,383,+7
Новосибирск,38322054xx,Ростелеком,383,+7
Новосибирск,38322055xx,Ростелеком,383,+7
Новосибирск,38322056xx,Ростелеком,383,+7
Новосибирск,38322057xx,Ростелеком,383,+7
Новосибирск,38322058xx,Ростелеком,383,+7
Новосибирск,38322059xx,Ростелеком,383,+7
Новосибирск,3832206xxx,Ростелеком,383,+7
Новосибирск,3832207xxx,Ростелеком,383,+7
Новосибирск,3832208xxx,Ростелеком,383,+7
Новосибирск,3832209xxx,Ростелеком,383,+7
Новосибирск,383221xxxx,Ростелеком,383,+7
Новосибирск,383222xxxx,Ростелеком,383,+7
Новосибирск,383223xxxx,Ростелеком,383,+7
Новосибирск,383224xxxx,Ростелеком,383,+7
Новосибирск,383225xxxx,Ростелеком,383,+7
Новосибирск,383226xxxx,Ростелеком,383,+7
Новосибирск,3832270xxx,Ростелеком,383,+7
Новосибирск,3832271xxx,Ростелеком,383,+7
Новосибирск,3832272xxx,Ростелеком,383,+7
Новосибирск,3832273xxx,Ростелеком,383,+7
Новосибирск,3832274xxx,Ростелеком,383,+7
Новосибирск,3832275xxx,Ростелеком,383,+7
Новосибирск,383260xxxx,Ростелеком,383,+7
Новосибирск,383261xxxx,Ростелеком,383,+7
Новосибирск,383262xxxx,Ростелеком,383,+7
Новосибирск,383264xxxx,Ростелеком,383,+7
Новосибирск,383265xxxx,Ростелеком,383,+7
Новосибирск,383266xxxx,Ростелеком,383,+7
Новосибирск,383267xxxx,Ростелеком,383,+7
Новосибирск,383268xxxx,Ростелеком,383,+7
Новосибирск,3832690xxx,Ростелеком,383,+7
Новосибирск,3832691xxx,Ростелеком,383,+7
Новосибирск,3832692xxx,Ростелеком,383,+7
Новосибирск,3832693xxx,Ростелеком,383,+7
Новосибирск,3832694xxx,Ростелеком,383,+7
Новосибирск,3832695xxx,Ростелеком,383,+7
Новосибирск,3832696xxx,Ростелеком,383,+7
Новосибирск,38326970xx,Ростелеком,383,+7
Новосибирск,38326971xx,Ростелеком,383,+7
Новосибирск,38326972xx,Ростелеком,383,+7
Новосибирск,38326973xx,Ростелеком,383,+7
Новосибирск,38326989xx,Ростелеком,383,+7
Новосибирск,3832699xxx,Ростелеком,383,+7
Новосибирск,383270xxxx,Ростелеком,383,+7
Новосибирск,383271xxxx,Ростелеком,383,+7
Новосибирск,383272xxxx,Ростелеком,383,+7
Новосибирск,383273xxxx,Ростелеком,383,+7
Новосибирск,3832740xxx,Ростелеком,383,+7
Новосибирск,3832741xxx,Ростелеком,383,+7
Новосибирск,3832742xxx,Ростелеком,383,+7
Новосибирск,3832743xxx,Ростелеком,383,+7
Новосибирск,3832744xxx,Ростелеком,383,+7
Новосибирск,3832745xxx,Ростелеком,383,+7
Новосибирск,3832746xxx,Ростелеком,383,+7
Новосибирск,3832747xxx,Ростелеком,383,+7
Новосибирск,383293xxxx,Ростелеком,383,+7
Новосибирск,383294xxxx,Ростелеком,383,+7
Новосибирск,3832950xxx,Ростелеком,383,+7
Новосибирск,3832951xxx,Ростелеком,383,+7
Новосибирск,3832952xxx,Ростелеком,383,+7
Новосибирск,3832953xxx,Ростелеком,383,+7
Новосибирск,3832954xxx,Ростелеком,383,+7
Новосибирск,38329550xx,Ростелеком,383,+7
Новосибирск,38329551xx,Ростелеком,383,+7
Новосибирск,38329552xx,Ростелеком,383,+7
Новосибирск,38329553xx,Ростелеком,383,+7
Новосибирск,38329554xx,Ростелеком,383,+7
Новосибирск,3833316xxx,Ростелеком,383,+7
Новосибирск,3833317xxx,Ростелеком,383,+7
Новосибирск,3833318xxx,Ростелеком,383,+7
Новосибирск,3833319xxx,Ростелеком,383,+7
Новосибирск,383332xxxx,Ростелеком,383,+7
Новосибирск,383333xxxx,Ростелеком,383,+7
Новосибирск,38333997xx,Ростелеком,383,+7
Новосибирск,38333998xx,Ростелеком,383,+7
Новосибирск,38333999xx,Ростелеком,383,+7
Новосибирск,383340xxxx,Ростелеком,383,+7
Новосибирск,383341xxxx,Ростелеком,383,+7
Новосибирск,383342xxxx,Ростелеком,383,+7
Новосибирск,383343xxxx,Ростелеком,383,+7
Новосибирск,3833440xxx,Ростелеком,383,+7
Новосибирск,3833441xxx,Ростелеком,383,+7
Новосибирск,3833442xxx,Ростелеком,383,+7
Новосибирск,3833443xxx,Ростелеком,383,+7
Новосибирск,3833444xxx,Ростелеком,383,+7
Новосибирск,3833445xxx,Ростелеком,383,+7
Новосибирск,3833446xxx,Ростелеком,383,+7
Новосибирск,3833447xxx,Ростелеком,383,+7
Новосибирск,3833448xxx,Ростелеком,383,+7
Новосибирск,38334490xx,Ростелеком,383,+7
Новосибирск,38334491xx,Ростелеком,383,+7
Новосибирск,38334492xx,Ростелеком,383,+7
Новосибирск,38334493xx,Ростелеком,383,+7
Новосибирск,38334494xx,Ростелеком,383,+7
Новосибирск,383344950x,Ростелеком,383,+7
Новосибирск,383344951x,Ростелеком,383,+7
Новосибирск,383344952x,Ростелеком,383,+7
Новосибирск,383344953x,Ростелеком,383,+7
Новосибирск,383344954x,Ростелеком,383,+7
Новосибирск,383344955x,Ростелеком,383,+7
Новосибирск,3833499xxx,Ростелеком,383,+7
Новосибирск,383350xxxx,Ростелеком,383,+7
Новосибирск,383351xxxx,Ростелеком,383,+7
Новосибирск,383352xxxx,Ростелеком,383,+7
Новосибирск,383353xxxx,Ростелеком,383,+7
Новосибирск,3833540xxx,Ростелеком,383,+7
Новосибирск,3833541xxx,Ростелеком,383,+7
Новосибирск,3833542xxx,Ростелеком,383,+7
Новосибирск,3833543xxx,Ростелеком,383,+7
Новосибирск,3833544xxx,Ростелеком,383,+7
Новосибирск,3833545xxx,Ростелеком,383,+7
Новосибирск,3833546xxx,Ростелеком,383,+7
Новосибирск,3833547xxx,Ростелеком,383,+7
Новосибирск,3833548xxx,Ростелеком,383,+7
Новосибирск,38335490xx,Ростелеком,383,+7
Новосибирск,38335491xx,Ростелеком,383,+7
Новосибирск,38335492xx,Ростелеком,383,+7
Новосибирск,38335493xx,Ростелеком,383,+7
Новосибирск,38335494xx,Ростелеком,383,+7
Новосибирск,38335495xx,Ростелеком,383,+7
Новосибирск,38335496xx,Ростелеком,383,+7
Новосибирск,38335497xx,Ростелеком,383,+7
Новосибирск,383355xxxx,Ростелеком,383,+7
Новосибирск,383356xxxx,Ростелеком,383,+7
Новосибирск,383357xxxx,Ростелеком,383,+7
Екатеринбург,343254xxxx,Ростелеком,343,+7
Екатеринбург,343255xxxx,Ростелеком,343,+7
Екатеринбург,343256xxxx,Ростелеком,343,+7
Екатеринбург,343257xxxx,Ростелеком,343,+7
Екатеринбург,343258xxxx,Ростелеком,343,+7
Екатеринбург,3432590xxx,Ростелеком,343,+7
Екатеринбург,3432591xxx,Ростелеком,343,+7
Екатеринбург,3432592xxx,Ростелеком,343,+7
Екатеринбург,3432593xxx,Ростелеком,343,+7
Екатеринбург,3432594xxx,Ростелеком,343,+7
Екатеринбург,3432595xxx,Ростелеком,343,+7
Екатеринбург,3432596xxx,Ростелеком,343,+7
Екатеринбург,3432597xxx,Ростелеком,343,+7
Екатеринбург,34325980xx,Ростелеком,343,+7
Екатеринбург,34325981xx,Ростелеком,343,+7
Екатеринбург,34325982xx,Ростелеком,343,+7
Екатеринбург,34325983xx,Ростелеком,343,+7
Екатеринбург,34325984xx,Ростелеком,343,+7
Екатеринбург,34325985xx,Ростелеком,343,+7
Екатеринбург,34325986xx,Ростелеком,343,+7
Екатеринбург,3432705xxx,МТС,343,+7
Екатеринбург,3432706xxx,МТС,343,+7
Екатеринбург,3432707xxx,МТС,343,+7
Екатеринбург,3432708xxx,МТС,343,+7
Екатеринбург,3432709xxx,МТС,343,+7
Екатеринбург,343271xxxx,МТС,343,+7
Екатеринбург,343272xxxx,МТС,343,+7
Екатеринбург,343273xxxx,МТС,343,+7
Екатеринбург,343274xxxx,МТС,343,+7
Екатеринбург,343275xxxx,МТС,343,+7
Екатеринбург,343276xxxx,МТС,343,+7
Екатеринбург,343277xxxx,МТС,343,+7
Екатеринбург,3432780xxx,МТС,343,+7
Екатеринбург,3432781xxx,МТС,343,+7
Екатеринбург,34327820xx,МТС,343,+7
Екатеринбург,34327821xx,МТС,343,+7
Екатеринбург,34327822xx,МТС,343,+7
Екатеринбург,34327823xx,МТС,343,+7
Екатеринбург,34331145xx,Билайн,343,+7
Екатеринбург,34331146xx,Билайн,343,+7
Екатеринбург,34331147xx,Билайн,343,+7
Екатеринбург,34331148xx,Билайн,343,+7
Екатеринбург,34331149xx,Билайн,343,+7
Екатеринбург,3433115xxx,Билайн,343,+7
Екатеринбург,3433116xxx,Билайн,343,+7
Екатеринбург,3433117xxx,Билайн,343,+7
Екатеринбург,3433118xxx,Билайн,343,+7
Екатеринбург,3433119xxx,Билайн,343,+7
Екатеринбург,343312xxxx,Билайн,343,+7
Екатеринбург,343313xxxx,Билайн,343,+7
Екатеринбург,343314xxxx,Билайн,343,+7
Екатеринбург,343315xxxx,Билайн,343,+7
Екатеринбург,343320xxxx,Ростелеком,343,+7
Екатеринбург,343321xxxx,Ростелеком,343,+7
Екатеринбург,343322xxxx,Ростелеком,343,+7
Екатеринбург,343323xxxx,Ростелеком,343,+7
